Index, X, Y, Depth
0, 278.52, 1059.41, 243.23
1, 956.54, 958.05, 251.84
2, 277.15, 1069.73, 244.77
3, 894.06, 1048.84, 256.08
4, 572.01, 736.41, 338.04
5, 722.18, 902.58, 294.98
6, 657.84, 794.77, 323.85
7, 893.26, 1054.58, 255.87
8, 985.84, 960.53, 246.79
9, 962.85, 1015.24, 253.40
10, 785.40, 986.44, 276.09
11, 573.48, 740.69, 338.12
12, 704.32, 968.54, 281.95
13, 586.64, 1069.94, 265.17
14, 789.84, 1097.02, 256.64
15, 170.59, 1380.83, 196.96
16, 636.71, 731.66, 341.16
17, 872.21, 1031.78, 259.32
18, 347.16, 1054.48, 252.83
19, 581.07, 1049.10, 269.51
20, 691.73, 766.86, 329.39
21, 359.29, 922.76, 279.02
22, 921.14, 974.27, 258.09
23, 406.62, 629.91, 362.39
24, 515.16, 808.53, 316.99
25, 764.05, 1325.00, 224.75
26, 916.45, 1219.94, 232.25
27, 723.34, 982.39, 277.92
28, 784.44, 1387.88, 216.65
29, 911.92, 1451.06, 207.42
30, 524.83, 1217.97, 238.67
31, 769.94, 1363.73, 219.60
32, 791.47, 1006.55, 271.36
33, 201.19, 961.90, 252.87
34, 783.47, 1069.74, 260.44
35, 751.92, 1275.03, 231.63
36, 850.47, 1372.98, 216.97
37, 970.67, 1623.77, 190.09
38, 882.01, 1338.52, 219.52
39, 176.92, 939.54, 254.60
40, 211.26, 855.74, 276.38
41, 820.77, 1010.61, 268.52
42, 191.89, 952.43, 255.10
43, 275.50, 1081.55, 241.91
44, 290.53, 1067.97, 245.11
45, 560.49, 1112.43, 255.96
46, 924.36, 1520.83, 200.49
47, 437.93, 894.93, 292.19
48, 511.13, 1192.53, 241.73
49, 830.00, 1004.33, 269.19
50, 551.95, 709.10, 346.42
51, 442.75, 1054.62, 260.33
52, 821.73, 1078.59, 256.07
53, 345.97, 990.49, 263.57
54, 515.16, 808.53, 316.99
55, 973.46, 1732.54, 181.73
56, 818.03, 983.97, 271.89
57, 793.87, 982.55, 275.66
58, 237.12, 1084.33, 236.79
59, 571.48, 1119.32, 255.95
60, 942.61, 1360.71, 215.48
61, 772.12, 964.19, 280.51
62, 647.95, 1094.43, 261.10
63, 816.56, 1495.57, 204.75
64, 912.73, 1584.07, 194.72
65, 175.43, 1027.03, 240.44
66, 860.14, 1376.32, 216.69
67, 168.62, 1456.17, 189.66
68, 866.69, 1060.58, 257.49
69, 867.39, 1022.58, 263.39
70, 571.48, 1119.32, 255.95
71, 843.65, 1226.13, 234.50
72, 812.84, 941.86, 281.59
73, 764.02, 1886.85, 171.83
74, 257.86, 1273.27, 213.26
75, 718.09, 1155.54, 249.89
76, 887.41, 1102.65, 248.63
77, 983.35, 1738.17, 181.22
78, 845.42, 985.43, 264.60
79, 612.55, 1082.03, 263.23
80, 846.95, 1077.64, 255.76
81, 1071.27, 1763.91, 176.23
82, 717.34, 1209.35, 242.13
83, 604.02, 1076.76, 264.06
84, 903.30, 1078.42, 251.31
85, 833.64, 1367.26, 217.54
86, 370.94, 1768.02, 172.96
87, 730.66, 1193.56, 244.11
88, 797.08, 1576.44, 197.10
89, 787.40, 979.25, 277.27
90, 796.39, 1184.67, 243.41
91, 751.92, 1275.03, 231.63
92, 364.92, 916.09, 280.18
93, 881.59, 1036.54, 259.41
94, 801.74, 990.78, 273.98
95, 814.42, 1012.04, 269.30
96, 450.49, 1807.98, 172.56
97, 836.05, 1301.00, 225.19
98, 213.67, 1802.34, 163.39
99, 869.80, 1202.92, 236.54
100, 922.35, 1163.73, 238.87
101, 455.79, 1149.66, 245.61
102, 932.92, 1806.47, 176.50
103, 454.65, 1086.01, 255.31
104, 939.48, 1138.63, 240.36
105, 749.00, 1266.30, 233.04
106, 659.97, 1112.99, 257.47
107, 813.20, 1772.64, 180.16
108, 858.29, 1371.57, 217.05
109, 651.52, 789.91, 324.45
110, 297.13, 710.92, 318.07
111, 691.33, 776.50, 326.46
112, 884.43, 1092.95, 250.22
113, 890.54, 1053.39, 256.13
114, 617.90, 1114.67, 257.66
115, 738.27, 1022.79, 271.81
116, 448.44, 1058.24, 260.56
117, 387.86, 1045.20, 257.59
118, 354.03, 1749.16, 173.54
119, 829.72, 1336.68, 221.35
120, 592.68, 1144.88, 251.73
121, 216.25, 1580.90, 181.30
122, 154.71, 969.69, 249.05
123, 429.67, 879.14, 294.64
124, 421.49, 1015.92, 265.79
125, 475.85, 1853.87, 169.95
