Index, X, Y, Disparity
0, 627.47, 604.70, 262.86
1, 598.38, 602.56, 139.06
2, 530.70, 601.51, 34.35
3, 607.24, 654.37, 106.97
4, 591.93, 608.51, 134.44
5, 598.38, 602.56, 139.06
6, 658.39, 605.79, 136.75
7, 658.39, 605.79, 136.75
8, 432.22, 659.79, 106.04
9, 478.18, 539.34, -5.14
10, 530.70, 601.51, 34.35
11, 495.81, 659.07, 106.09
12, 493.57, 668.07, 106.03
13, 604.49, 451.64, 58.77
14, 591.93, 608.51, 134.44
15, 669.51, 656.61, 107.74
16, 535.67, 602.51, 100.23
17, 662.40, 521.42, 179.79
18, 495.81, 659.07, 106.09
19, 604.00, 481.51, 149.11
20, 531.65, 570.77, -19.68
21, 639.09, 623.51, 107.51
22, 600.30, 542.85, 56.37
23, 651.13, 554.66, 259.83
24, 604.00, 481.51, 149.11
25, 531.65, 570.77, -19.68
26, 478.18, 539.34, -5.14
27, 619.59, 640.40, 108.02
28, 651.13, 554.66, 259.83
29, 507.25, 607.60, -8.32
30, 546.73, 652.09, 106.46
31, 507.25, 607.60, -8.32
32, 564.25, 542.30, 47.96
33, 590.52, 602.57, 225.91
34, 472.52, 537.56, 109.96
35, 538.50, 578.31, 165.24
36, 639.09, 623.51, 107.51
37, 564.25, 542.30, 100.05
38, 536.88, 449.53, 111.91
39, 633.33, 490.31, 233.14
40, 561.74, 578.43, 188.48
41, 511.34, 485.45, -0.23
42, 536.59, 576.24, 76.87
43, 472.52, 537.56, 109.96
44, 633.33, 490.31, 233.14
45, 434.03, 605.82, 105.77
46, 536.67, 485.16, 73.26
47, 569.43, 548.23, 23.75
48, 639.09, 623.51, 107.51
49, 607.24, 654.37, 106.97
50, 560.80, 602.54, 5.30
51, 629.29, 574.57, 165.09
52, 625.03, 462.37, 231.34
53, 540.89, 580.83, 42.11
54, 449.23, 667.98, 106.26
55, 599.32, 452.88, 77.98
56, 604.49, 451.64, 58.77
57, 669.51, 656.61, 107.74
58, 500.73, 599.63, 107.06
59, 537.11, 481.47, 50.42
60, 611.42, 561.69, 196.20
61, 579.65, 590.91, 75.61
62, 482.30, 476.75, -5.46
63, 550.61, 559.54, 75.52
64, 539.16, 669.52, 106.25
65, 474.54, 507.74, 74.41
66, 611.42, 561.69, 196.20
67, 662.40, 521.42, 179.79
68, 537.61, 545.63, 111.29
69, 437.75, 666.27, 106.12
70, 537.11, 481.47, 50.42
71, 595.36, 547.40, 134.97
72, 560.80, 602.54, 74.42
73, 542.38, 455.46, 177.20
74, 550.61, 559.54, 75.52
75, 611.42, 561.69, 196.20
76, 599.63, 671.98, 106.84
77, 723.78, 350.32, 110.13
78, 474.54, 507.74, 74.41
79, 579.65, 590.91, 75.61
80, 486.75, 650.02, 106.14
81, 531.89, 602.65, 96.98
82, 583.97, 672.47, 106.66
83, 540.45, 510.59, 112.73
84, 639.09, 623.51, 107.51
85, 536.60, 659.94, 105.90
86, 659.02, 550.08, 201.13
87, 579.65, 590.91, 75.61
88, 599.32, 452.88, 77.98
89, 595.97, 604.82, 168.45
90, 600.09, 517.53, 167.09
91, 430.91, 737.63, 106.24
92, 561.34, 602.99, 133.61
93, 559.87, 637.69, 9.31
94, 567.31, 482.33, 77.08
95, 650.53, 642.12, 283.65
96, 625.03, 462.37, 231.34
97, 908.98, 1241.88, -0.11
98, 540.45, 510.59, 112.73
99, 630.91, 515.26, 117.81
