Index, X, Y, Disparity
0, 625.35, 885.39, 81.74
1, 653.35, 844.43, 80.06
2, 589.12, 844.54, 80.17
3, 604.94, 788.53, 80.26
4, 653.35, 844.43, 80.06
5, 672.23, 828.75, 80.20
6, 228.25, 533.60, 75.81
7, 219.72, 553.83, 76.95
8, 699.33, 784.51, 80.65
9, 475.80, 815.65, 78.82
10, 486.75, 852.65, 80.37
11, 277.27, 781.83, 83.78
12, 596.59, 941.19, 83.39
13, 414.54, 682.27, 74.77
14, 347.05, 625.27, 74.60
15, 672.23, 828.75, 80.20
16, 823.49, 1111.44, 96.98
17, 574.05, 854.44, 80.12
18, 823.50, 1106.68, 96.62
19, 359.98, 651.66, 75.19
20, 454.71, 1559.84, 111.73
21, 217.41, 569.18, 77.63
22, 442.93, 915.84, 83.55
23, 194.98, 483.66, 75.18
24, 197.44, 613.35, 80.30
25, 679.86, 836.41, 80.83
26, 652.54, 822.78, 80.11
27, 720.19, 1066.37, 91.09
28, 754.79, 853.70, 83.55
29, 777.62, 1023.53, 91.38
30, 492.36, 1379.96, 103.01
31, 655.45, 815.40, 79.68
32, 457.70, 936.25, 83.52
33, 553.78, 854.03, 79.83
34, 556.31, 865.16, 80.55
35, 795.03, 761.53, 81.26
36, 466.54, 713.84, 75.60
37, 418.80, 894.30, 83.11
38, 825.99, 768.11, 83.02
39, 516.98, 790.81, 77.56
40, 617.82, 924.41, 83.22
41, 781.30, 1072.02, 93.59
42, 958.16, 1279.87, 110.73
43, 396.50, 691.97, 75.91
44, 529.71, 851.77, 80.98
45, 752.35, 867.57, 84.06
46, 144.92, 625.25, 83.52
47, 396.50, 691.97, 75.91
48, 587.60, 1561.45, 111.15
49, 823.86, 1867.19, 128.59
50, 630.18, 816.42, 79.27
51, 194.98, 483.66, 75.18
52, 548.19, 881.43, 81.47
53, 986.05, 1235.53, 110.96
54, 978.94, 1282.07, 111.88
55, 717.24, 827.06, 81.09
56, 763.25, 1065.22, 92.33
57, 532.21, 763.42, 80.30
58, 740.00, 824.22, 81.01
59, 448.39, 827.81, 79.99
60, 411.18, 676.49, 75.38
61, 999.77, 1220.34, 112.75
62, 795.62, 756.34, 81.35
63, 619.37, 820.88, 79.29
64, 951.32, 1216.39, 108.61
65, 738.24, 809.88, 80.85
66, 817.83, 752.23, 82.20
67, 689.40, 1013.17, 88.14
68, 755.37, 856.45, 83.55
69, 547.51, 1003.60, 86.09
70, 507.85, 832.49, 79.31
71, 448.14, 784.81, 78.12
72, 407.70, 998.15, 87.99
73, 357.27, 1306.71, 102.69
74, 843.57, 766.80, 83.92
75, 1041.16, 1540.88, 124.13
76, 726.27, 1244.16, 99.35
77, 530.29, 817.94, 78.66
78, 103.41, 646.18, 86.04
79, 696.68, 836.00, 81.02
80, 845.92, 755.33, 83.73
81, 216.26, 580.66, 78.33
82, 590.33, 1566.97, 111.56
83, 225.79, 554.93, 76.79
84, 697.38, 1096.94, 91.97
85, 534.53, 816.53, 78.98
86, 412.51, 653.63, 74.47
87, 379.43, 676.63, 76.02
88, 740.78, 814.60, 81.44
89, 611.12, 1109.94, 91.08
90, 229.29, 521.39, 75.27
91, 512.38, 720.19, 78.61
92, 556.31, 865.16, 80.55
93, 369.77, 1808.58, 123.15
94, 392.21, 720.54, 77.09
95, 694.21, 1039.12, 90.23
96, 664.80, 837.03, 80.18
97, 371.65, 1409.96, 106.40
98, 483.07, 853.44, 80.58
99, 466.35, 1339.16, 101.31
100, 483.07, 853.44, 80.58
101, 867.39, 1393.12, 111.54
102, 829.45, 829.97, 85.37
103, 377.56, 704.44, 76.87
104, 958.16, 1279.87, 110.73
105, 850.49, 1365.13, 108.95
106, 828.78, 774.93, 83.18
107, 922.81, 1442.14, 115.70
108, 383.40, 684.19, 76.01
109, 833.13, 1231.14, 103.02
110, 455.97, 699.03, 75.34
111, 557.35, 887.44, 80.80
112, 350.18, 957.05, 87.98
113, 780.82, 1056.55, 92.92
114, 660.58, 1068.49, 89.88
115, 1001.38, 1263.78, 111.83
116, 208.06, 507.53, 75.69
117, 848.47, 762.02, 84.49
118, 223.49, 568.48, 77.49
119, 431.19, 872.44, 82.28
120, 391.14, 969.88, 87.19
121, 457.70, 936.25, 83.52
122, 848.91, 1355.58, 108.50
123, 743.59, 1049.02, 91.07
124, 835.04, 754.06, 83.06
125, 1012.83, 1270.78, 112.80
126, 402.46, 678.88, 75.25
127, 974.87, 1271.09, 111.42
128, 660.58, 1068.49, 89.88
129, 244.94, 900.78, 90.73
130, 759.62, 834.43, 82.53
131, 942.15, 1201.21, 106.87
132, 752.46, 1214.59, 98.55
133, 638.35, 1021.97, 87.69
134, 490.44, 1411.88, 104.29
135, 633.88, 887.15, 81.86
136, 361.38, 1300.03, 102.57
137, 560.87, 863.81, 81.04
138, 383.24, 935.17, 86.11
139, 965.49, 1218.80, 108.96
140, 699.64, 1667.70, 116.97
141, 416.83, 924.79, 84.72
142, 815.56, 1047.30, 94.06
143, 972.71, 1260.56, 110.70
144, 529.89, 987.90, 85.32
145, 185.71, 574.17, 79.20
146, 993.90, 1262.09, 111.92
147, 743.59, 1049.02, 91.07
148, 404.81, 716.28, 76.85
149, 208.06, 507.53, 75.69
150, 610.20, 934.05, 83.29
151, 1017.36, 1275.55, 113.14
152, 726.27, 1244.16, 99.35
153, 366.21, 673.46, 76.18
154, 844.50, 1104.01, 97.77
155, 541.35, 864.98, 80.43
156, 369.06, 683.77, 76.37
157, 529.17, 986.01, 85.20
158, 585.26, 1658.62, 115.41
159, 813.70, 849.54, 85.53
160, 371.10, 1261.58, 100.47
161, 261.29, 756.27, 83.33
162, 522.73, 1335.83, 100.69
163, 577.21, 1547.71, 110.51
164, 164.66, 1297.17, 109.78
165, 937.94, 1260.78, 109.22
166, 302.40, 965.77, 90.57
167, 801.64, 1059.90, 94.11
168, 496.97, 834.62, 79.38
169, 517.17, 974.20, 85.03
170, 377.88, 709.12, 76.99
171, 799.13, 1075.46, 94.44
172, 657.87, 1059.87, 89.35
173, 444.83, 709.54, 75.09
174, 813.84, 1003.68, 92.02
175, 770.57, 1134.90, 95.87
176, 141.27, 473.52, 77.08
177, 739.15, 874.71, 83.96
178, 785.07, 1052.03, 92.67
179, 609.35, 822.54, 79.25
180, 223.49, 568.48, 77.49
181, 392.28, 681.61, 75.98
182, 446.95, 691.60, 75.43
183, 444.15, 698.31, 75.79
184, 235.79, 845.66, 88.75
185, 371.47, 1116.76, 94.19
186, 720.65, 1034.28, 90.16
187, 954.32, 1348.25, 113.38
188, 548.56, 1557.81, 110.92
189, 521.06, 872.51, 80.54
190, 404.40, 900.03, 84.32
191, 103.41, 646.18, 86.04
192, 393.59, 1326.03, 102.43
193, 870.80, 1134.56, 100.28
194, 761.69, 1160.99, 96.87
195, 442.98, 1239.71, 97.41
196, 416.83, 924.79, 84.72
197, 287.48, 934.70, 89.80
